0 1 4 5 5 2 3 3 5 100 1 25 50 1 50 1
1 2 2 50 50 4 5 5 6 25 4 250 25 1 75 1
2 2 5 15 15 6 7 4 1 100 1 50 50 1 50 1
3 3 3 50 50 20 21 3 11 100 5 0 0 3 0 2
101 1 2 550 550 8 9 7 8 100 85 500 100 3 250 1
5 1 2 100 100 10 11 4 5 100 10 500 100 1 250 65
6 1 2 100 100 12 13 4 5 100 10 500 100 1 250 65
7 4 4 10 10 14 15 3 3 0 0 25 100 2 30 17
8 4 4 10 10 22 23 3 3 0 0 25 50 1 100 17
9 4 4 25 25 16 17 3 3 0 0 100 100 1 30 529
10 3 5 750 750 18 19 4 7 100 2 0 0 1 0 53249
11 1 3 15 15 8 9 14 14 7 1 50 75 1 100 1025
12 4 2 20 10 10 11 3 3 0 0 25 100 13 25 17
13 4 3 75 75 12 13 14 14 100 100 0 0 1 0 1042
14 1 3 50 50 24 25 16 16 100 0 0 0 1 0 1026
101 1 3 1000 1000 26 27 4 15 0 0 1000 100 1 255 5
16 1 1 250 250 28 29 4 15 0 0 1000 100 1 255 65
17 1 1 500 500 30 31 4 15 0 0 1000 100 1 255 131137
18 1 1 500 500 32 33 4 15 0 0 1000 100 1 255 131137
19 1 1 250 250 34 35 4 15 0 0 1000 100 1 255 65
20 3 8 5 5 36 37 3 9 100 0 0 10 5 1 1
21 3 6 1000 1000 10 11 15 6 100 5 550 100 3 255 270337
22 3 5 500 500 12 13 4 11 100 100 500 100 14 1 1
23 3 5 1000 1000 26 27 15 10 100 0 2000 100 1 255 6
101 1 5 1000 1000 28 28 15 11 0 0 2000 0 1 0 17
25 5 1 50 50 38 38 15 11 0 0 0 25 15 1 1
26 5 1 10 10 39 40 15 11 0 0 0 25 15 1 1
27 1 3 200 200 30 31 9 9 25 25 450 100 1 100 1
28 3 5 250 250 10 11 8 8 50 50 1000 75 5 2 1
29 3 2 100 100 32 33 6 7 50 2 0 0 5 0 2
30 3 4 500 500 12 13 6 7 50 2 1000 0 5 0 1
31 3 1 250 250 32 33 3 7 0 0 1000 100 1 25 17
32 3 4 800 800 12 13 3 7 100 0 1000 100 1 25 1
33 4 6 150 150 34 35 3 7 0 0 250 100 1 25 17
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
35 3 5 250 250 0 1 4 6 100 5 500 100 1 250 1
36 3 4 750 750 41 42 15 6 100 5 500 100 1 250 1
37 3 4 250 250 43 44 6 6 5 0 500 100 1 250 5
38 3 4 250 250 45 46 6 6 5 0 500 100 1 250 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0

